LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Unadjusted gender wage gap (%),Flag Codes,primary_key
AUS,WAGEGAP,EMPLOYEE,PC,A,1975,21.58273381,,AUS_1975
AUS,WAGEGAP,EMPLOYEE,PC,A,1976,20.75471698,,AUS_1976
AUS,WAGEGAP,EMPLOYEE,PC,A,1977,18.3908046,,AUS_1977
AUS,WAGEGAP,EMPLOYEE,PC,A,1978,19.79166667,,AUS_1978
AUS,WAGEGAP,EMPLOYEE,PC,A,1979,20,,AUS_1979
AUS,WAGEGAP,EMPLOYEE,PC,A,1980,18.75,,AUS_1980
AUS,WAGEGAP,EMPLOYEE,PC,A,1981,18.25396825,,AUS_1981
AUS,WAGEGAP,EMPLOYEE,PC,A,1982,20.81911263,,AUS_1982
AUS,WAGEGAP,EMPLOYEE,PC,A,1983,19.15584416,,AUS_1983
AUS,WAGEGAP,EMPLOYEE,PC,A,1984,18.6746988,,AUS_1984
AUS,WAGEGAP,EMPLOYEE,PC,A,1985,19.60784314,,AUS_1985
AUS,WAGEGAP,EMPLOYEE,PC,A,1986,18.84816754,,AUS_1986
AUS,WAGEGAP,EMPLOYEE,PC,A,1987,18.51851852,,AUS_1987
AUS,WAGEGAP,EMPLOYEE,PC,A,1988,18.79350348,,AUS_1988
AUS,WAGEGAP,EMPLOYEE,PC,A,1989,18.58974359,,AUS_1989
AUS,WAGEGAP,EMPLOYEE,PC,A,1990,18.18181818,,AUS_1990
AUS,WAGEGAP,EMPLOYEE,PC,A,1991,16.015625,,AUS_1991
AUS,WAGEGAP,EMPLOYEE,PC,A,1992,14.25855513,,AUS_1992
AUS,WAGEGAP,EMPLOYEE,PC,A,1993,13.22463768,,AUS_1993
AUS,WAGEGAP,EMPLOYEE,PC,A,1994,14.40972222,,AUS_1994
AUS,WAGEGAP,EMPLOYEE,PC,A,1995,14.47811448,,AUS_1995
AUS,WAGEGAP,EMPLOYEE,PC,A,1997,15.25423729,,AUS_1997
AUS,WAGEGAP,EMPLOYEE,PC,A,1998,13.24200913,,AUS_1998
AUS,WAGEGAP,EMPLOYEE,PC,A,1999,14.28571429,,AUS_1999
AUS,WAGEGAP,EMPLOYEE,PC,A,2000,17.2,,AUS_2000
AUS,WAGEGAP,EMPLOYEE,PC,A,2001,14.34210526,,AUS_2001
AUS,WAGEGAP,EMPLOYEE,PC,A,2002,15,,AUS_2002
AUS,WAGEGAP,EMPLOYEE,PC,A,2003,13.04347826,,AUS_2003
AUS,WAGEGAP,EMPLOYEE,PC,A,2004,14.35294118,,AUS_2004
AUS,WAGEGAP,EMPLOYEE,PC,A,2005,15.77777778,,AUS_2005
AUS,WAGEGAP,EMPLOYEE,PC,A,2006,16.66666667,,AUS_2006
