LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Unadjusted gender wage gap (%),Flag Codes,primary_key,primary_key,position,actual_gap_orig,actual_gap,test,
AUS,WAGEGAP,EMPLOYEE,PC,A,1975,21.58273381,,AUS_1975,,2,21.58273381,0.215827338,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1976,20.75471698,,AUS_1976,,2,20.75471698,0.20754717,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1977,18.3908046,,AUS_1977,,2,18.3908046,0.183908046,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1978,19.79166667,,AUS_1978,,2,19.79166667,0.197916667,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1979,20,,AUS_1979,,2,20,0.2,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1980,18.75,,AUS_1980,,2,18.75,0.1875,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1981,18.25396825,,AUS_1981,,2,18.25396825,0.182539683,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1982,20.81911263,,AUS_1982,,2,20.81911263,0.208191126,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1983,19.15584416,,AUS_1983,,2,19.15584416,0.191558442,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1984,18.6746988,,AUS_1984,,2,18.6746988,0.186746988,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1985,19.60784314,,AUS_1985,,2,19.60784314,0.196078431,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1986,18.84816754,,AUS_1986,,2,18.84816754,0.188481675,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1987,18.51851852,,AUS_1987,,2,18.51851852,0.185185185,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1988,18.79350348,,AUS_1988,,2,18.79350348,0.187935035,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1989,18.58974359,,AUS_1989,,2,18.58974359,0.185897436,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1990,18.18181818,,AUS_1990,,2,18.18181818,0.181818182,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1991,16.015625,,AUS_1991,,2,16.015625,0.16015625,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1992,14.25855513,,AUS_1992,,2,14.25855513,0.142585551,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1993,13.22463768,,AUS_1993,,2,13.22463768,0.132246377,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1994,14.40972222,,AUS_1994,,2,14.40972222,0.144097222,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1995,14.47811448,,AUS_1995,,2,14.47811448,0.144781145,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1997,15.25423729,,AUS_1997,,2,15.25423729,0.152542373,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1998,13.24200913,,AUS_1998,,2,13.24200913,0.132420091,,
AUS,WAGEGAP,EMPLOYEE,PC,A,1999,14.28571429,,AUS_1999,,2,14.28571429,0.142857143,,
AUS,WAGEGAP,EMPLOYEE,PC,A,2000,17.2,,AUS_2000,,2,17.2,0.172,,
AUS,WAGEGAP,EMPLOYEE,PC,A,2001,14.34210526,,AUS_2001,,2,14.34210526,0.143421053,,
AUS,WAGEGAP,EMPLOYEE,PC,A,2002,15,,AUS_2002,,2,15,0.15,,
AUS,WAGEGAP,EMPLOYEE,PC,A,2003,13.04347826,,AUS_2003,,2,13.04347826,0.130434783,,
AUS,WAGEGAP,EMPLOYEE,PC,A,2004,14.35294118,,AUS_2004,,2,14.35294118,0.143529412,,
AUS,WAGEGAP,EMPLOYEE,PC,A,2005,15.77777778,,AUS_2005,,2,15.77777778,0.157777778,,
AUS,WAGEGAP,EMPLOYEE,PC,A,2006,16.66666667,,AUS_2006,,2,16.66666667,0.166666667,,
AUS,WAGEGAP,EMPLOYEE,PC,A,2007,15.4,,AUS_2007,,2,15.4,0.154,,
AUS,WAGEGAP,EMPLOYEE,PC,A,2008,11.93737769,,AUS_2008,,2,11.93737769,0.119373777,,
AUS,WAGEGAP,EMPLOYEE,PC,A,2009,16.36363636,,AUS_2009,,2,16.36363636,0.163636364,,
AUS,WAGEGAP,EMPLOYEE,PC,A,2010,14.04293381,,AUS_2010,,2,14.04293381,0.140429338,,
